PURCHASE   ORDER   SHEET  (PARTS)  FOR MOS;;;;
;;;;
ORDER DATE;;04.05.2016 13:09;;
CUSTOMER CODE;;0020-0;;
PO.NO;;27388;;
SEA/AIR;;SEA;;
SHIPPING DATE    (YYYYMMDD);;ASAP;;
<DETAIL>;;;;
REF.NO;PART.NO; QUANTITY;MODEL.NO;LOCATION
1;652023936;5;;XL3A32
2;652023937;5;;XL3A33
3;652024710;5;;XL3B04
4;652024732;10;;XL3A42
5;652024746;10;;20D24
6;652024750;5;;20D24
7;665394-6;250;;S7H3C1
8;665876-8;10;;E5E2A1
9;671001001;10;;19B26
10;671001241;10;;19D15
11;671001288;10;;19B26
12;671002024;10;;T4D5B2
13;671002448;10;;T4C2B1
14;671011173;10;;V5E6F2
15;671011180;10;;XL3B45
16;671012720;10;;T3I3E1
17;671016150;5;;EEE
18;671020140;5;;EEE
19;671327001;5;;V3A7C1
20;671502016;5;;17B01
21;671652001;10;;T3E6C1
22;682516-3;20;;M/G8C1
23;682566-8;20;;M/G9C1
24;687062-1;10;;EEE
25;695480-9;10;;EEE
26;695490-6;20;;EEE
27;816326-8;10;;S2B6D1
28;837632-8;400;;T6D1A1
29;837634-4;40;;T5E1A1
30;837641-7;40;;T6H1A1
31;838040-6;10;;T5D1A1
32;838175-3;20;;E7I2A1
33;911003-8;40;;RK2B22
34;911263-2;40;;RK1C22
35;;;;
36;;;;
37;;;;
38;;;;
39;;;;
40;;;;
41;;;;
42;;;;
43;;;;
44;;;;
45;;;;
46;;;;
47;;;;
48;;;;
49;;;;
50;;;;
51;;;;
52;;;;
53;;;;
54;;;;
55;;;;
56;;;;
57;;;;
58;;;;
59;;;;
60;;;;
61;;;;
62;;;;
63;;;;
64;;;;
65;;;;
66;;;;
67;;;;
68;;;;
69;;;;
70;;;;
71;;;;
72;;;;
73;;;;
74;;;;
75;;;;
76;;;;
77;;;;
78;;;;
79;;;;
80;;;;
81;;;;
82;;;;
83;;;;
84;;;;
85;;;;
86;;;;
87;;;;
88;;;;
89;;;;
90;;;;
91;;;;
92;;;;
93;;;;
94;;;;
95;;;;
96;;;;
97;;;;
98;;;;
99;;;;
100;;;;
101;;;;
102;;;;
103;;;;
104;;;;
105;;;;
106;;;;
107;;;;
108;;;;
109;;;;
110;;;;
111;;;;
112;;;;
113;;;;
114;;;;
115;;;;
116;;;;
117;;;;
118;;;;
119;;;;
120;;;;
121;;;;
122;;;;
123;;;;
124;;;;
125;;;;
126;;;;
127;;;;
128;;;;
129;;;;
130;;;;
131;;;;
132;;;;
133;;;;
134;;;;
135;;;;
136;;;;
137;;;;
138;;;;
139;;;;
140;;;;
141;;;;
142;;;;
143;;;;
144;;;;
145;;;;
146;;;;
147;;;;
148;;;;
149;;;;
150;;;;
151;;;;
152;;;;
153;;;;
154;;;;
155;;;;
156;;;;
157;;;;
158;;;;
159;;;;
160;;;;
161;;;;
162;;;;
163;;;;
164;;;;
165;;;;
166;;;;
167;;;;
168;;;;
169;;;;
170;;;;
171;;;;
172;;;;
173;;;;
174;;;;
175;;;;
176;;;;
177;;;;
178;;;;
179;;;;
180;;;;
181;;;;
182;;;;
183;;;;
184;;;;
185;;;;
186;;;;
187;;;;
188;;;;
189;;;;
190;;;;
191;;;;
192;;;;
193;;;;
194;;;;
195;;;;
196;;;;
197;;;;
198;;;;
199;;;;
200;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
; ;;;
; ;  ; ;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
